Release, Total, TP, FN, TN, FOR, noise, Recall, Total Releases,Relative,Project
30,211.0,76.0,0.0,135.0,0.0,0.0,1.0,31,0.9666666666666668,FALCON
31,211.0,76.0,0.0,135.0,0.0,0.0,1.0,31,1.0,FALCON
2,0.0,0.0,0.0,0.0,/0,/0,/0,10,0.1111111111111111,GIRAPH
3,565.0,1.0,124.0,440.0,0.2198581560283688,0.21946902654867256,0.008,10,0.2222222222222222,GIRAPH
4,1130.0,9.0,240.0,881.0,0.21409455842997324,0.21238938053097345,0.03614457831325301,10,0.3333333333333333,GIRAPH
5,1130.0,11.0,238.0,881.0,0.2126899016979446,0.21061946902654868,0.04417670682730924,10,0.4444444444444444,GIRAPH
6,1152.0,227.0,44.0,881.0,0.04756756756756757,0.03819444444444445,0.8376383763837638,10,0.5555555555555556,GIRAPH
7,1152.0,253.0,18.0,881.0,0.020022246941045607,0.015625,0.933579335793358,10,0.6666666666666666,GIRAPH
8,1152.0,253.0,18.0,881.0,0.020022246941045607,0.015625,0.933579335793358,10,0.7777777777777778,GIRAPH
9,1152.0,271.0,0.0,881.0,0.0,0.0,1.0,10,0.8888888888888888,GIRAPH
10,1152.0,271.0,0.0,881.0,0.0,0.0,1.0,10,1.0,GIRAPH
2,0.0,0.0,0.0,0.0,/0,/0,/0,17,0.0625,IVY
3,435.0,10.0,56.0,369.0,0.13176470588235295,0.12873563218390804,0.15151515151515152,17,0.125,IVY
